Website,Product Catagory,Product Name,Weight,Original Price,Special Price,Discount
JIO Market,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Original Choco Filled Cookie,300 g,170.00,99.00,41
JIO Market,Buy Biscuits and Cooki,Britannia Jimjam Sandwich Biscuits,138 g,35.00,24.00,31
JIO Market,Buy Biscuits and Cooki,Parle Hide & Seek Chocolate Chip Cookies,100 g,30.00,20.00,33
JIO Market,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Choco Fills Cookies,75 g,40.00,30.00,25
JIO Market,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Bourbon Biscuits,120 g,35.00,17.00,51
JIO Market,Buy Biscuits and Cooki,Parle-G Original Glucose Biscuits,800 g,100.00,84.00,16
JIO Market,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Choco Creme Biscuits,100 g,35.00,17.00,51
JIO Market,Buy Biscuits and Cooki,Sunfeast Dark Fantasy Vanilla Creme Biscuits,100 g,35.00,17.00,51
JIO Market,Buy Biscuits and Cooki,Britannia Bourbon The Original Cream Biscuits,150 g,40.00,30.00,25
JIO Market,Buy Biscuits and Cooki,Parle Hide & Seek 4 Fun Flavours Choco Chip Creme Sandwich Biscuits,400 g,150.00,75.00,50
JIO Market,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Noodles,70 g,14.00,13.00,7
JIO Market,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Instant Noodles,560 g,112.00,87.00,22
JIO Market,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Instant Noodles,420 g,84.00,68.00,19
JIO Market,"Buy Instant Noodle, Pa",Top Deal     Maggi Nutri-licious Masala Veg Atta Noodles,290 g,112.00,74.00,33
JIO Market,"Buy Instant Noodle, Pa",Maggi 2-Minutes Masala Noodles Pack,832 g,160.00,128.00,20
JIO Market,"Buy Instant Noodle, Pa",Maggi Pazzta Cheese Macaroni,75 g,32.00,24.00,25
JIO Market,"Buy Instant Noodle, Pa",Top Ramen Masala Instant Noodles,360 g,78.00,45.00,42
JIO Market,"Buy Instant Noodle, Pa",Nissin Geki Hot & Spicy Korean Veg Flavour Noodles,80 g,49.00,32.00,34
JIO Market,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Noodles,140 g,28.00,26.00,7
JIO Market,"Buy Instant Noodle, Pa",Maggi 2-Minute Masala Instant Noodles,280 g,56.00,51.00,8
JIO Market,"Buy Instant Noodle, Pa",Smart Bazaar Exclusive Offer     Snactac Masala Noodles,280 g,80.00,40.00,50
JIO Market,Buy Snacks and Namkeen,Taali Pudina Punch Protien Puffs,60 g,59.00,39.00,33
JIO Market,Buy Snacks and Namkeen,Taali Cream & Onion Protein Puffs,60 g,59.00,39.00,33
JIO Market,Buy Snacks and Namkeen,Best Seller     Lay's American Style Cream & Onion Potato Chips,90 g,50.00,33.00,34
JIO Market,Buy Snacks and Namkeen,Fast Selling     Lay's India's Magic Masala Potato Chips,90 g,50.00,33.00,34
JIO Market,Buy Snacks and Namkeen,Top Deal     Bingo Achaari Masti Mad Angles,130 g,50.00,25.00,50
JIO Market,Buy Snacks and Namkeen,Taali Cheese & Herbs Protein Puffs,60 g,59.00,39.00,33
JIO Market,Buy Snacks and Namkeen,Taali Smoky Barbeque Protien Puffs,60 g,59.00,39.00,33
JIO Market,Buy Snacks and Namkeen,Taali Masala Mania Protein Puffs,60 g,59.00,39.00,33
JIO Market,Buy Snacks and Namkeen,Taali Sriracha Spice Roasted Makhana,60 g,120.00,80.00,33
JIO Market,Buy Chocolates and Can,Fast Selling     Cadbury Dairy Milk Fruit & Nut Chocolate,36 g,45.00,40.00,11
JIO Market,Buy Chocolates and Can,Best Buy     Cadbury Dairy Milk Roast Almond Chocolate,36 g,45.00,40.00,11
JIO Market,Buy Chocolates and Can,Kit Kat Dessert Delight Truffle Chocolate,50 g,65.00,44.00,32
JIO Market,Buy Chocolates and Can,Best Buy     Cadbury Dairy Milk Family Pack Chocolate,130 g,130.00,109.00,16
JIO Market,Buy Chocolates and Can,Best Buy     Cadbury Dairy Milk Oreo Chunks Lickables Chocolate,20 g,50.00,45.00,10
JIO Market,Buy Healthy Breakfast ,Top Deal     Kellogg's Fruit & Nut Muesli,750 g,490.00,326.00,33
JIO Market,Buy Healthy Breakfast ,Kellogg's Oats,900 g,185.00,124.00,32
JIO Market,Buy Healthy Breakfast ,Tata Soulfull Masala Oats+ Mast Masala,38 g,15.00,10.00,33
JIO Market,Buy Healthy Breakfast ,Saffola Classic Instant Masala Oats,38 g,14.00,13.00,7
JIO Market,Buy Healthy Breakfast ,Saffola Classic Masala Oats,500 g,228.00,183.00,19
JIO Market,Buy Healthy Breakfast ,Saffola Veggie Twist Instant Masala Oats,38 g,17.00,15.00,11
JIO Market,Buy Ready To Cook Food,Lijjat Udad Papad,200 g,77.00,69.00,10
JIO Market,Buy Ready To Cook Food,MTR 3 Minute Breakfast Poha Mix,60 g,27.00,18.00,33
JIO Market,Buy Ready To Cook Food,MTR 3 Minute Breakfast Vegetable Instant Upma Mix,60 g,27.00,18.00,33
JIO Market,Buy Ready To Cook Food,Knorr Classic Thick Tomato Soup,53 g,60.00,45.00,25
JIO Market,Buy Ready To Cook Food,Lijjat Punjabi Masala Special Papad,200 g,89.00,80.00,10
JIO Market,Buy Ready To Cook Food,Knorr Classic Hot & Sour Vegetable Soup,41 g,60.00,45.00,25
JIO Market,Buy Ready To Cook Food,Ram Bandhu Udad Papad,200 g,90.00,45.00,50
JIO Market,"Buy Whole Wheat Toast,",Britannia Toastea Premium Bake Rusk,182 g,30.00,29.00,3
JIO Market,"Buy Whole Wheat Toast,",Parle Elaichi Rusk,400 g,75.00,52.00,30
JIO Market,"Buy Whole Wheat Toast,",Britannia Toastea Premium Bake Rusk,400 g,75.00,63.00,16
JIO Market,Order Fresh Breads and,Muffets And Tuffets White Bread,400 g,56.00,28.00,50
JIO Market,Order Fresh Breads and,Muffets & Tuffets Multigrain Bread,400 g,70.00,35.00,50
JIO Market,Order Fresh Breads and,Muffets & Tuffets Brown Bread,400 g,60.00,30.00,50
JIO Market,Order Fresh Breads and,Muffets & Tuffets Whole Wheat Bread,400 g,60.00,30.00,50
JIO Market,Order Fresh Breads and,Britannia 100% Whole Wheat Bread,450 g,50.00,45.00,10
JIO Market,Order Fresh Breads and,"Schar Pan Rustico Gluten Free Bread (Brown Bread),",250g,545.00,518.00,4
JIO Market,Order Fresh Breads and,"Schar Pan Blanco Gluten Free Bread (White Bread),",250g,545.00,518.00,4
JIO Market,Buy Chai Online | Best,Tata Agni Tea,250 g,50.00,44.00,12
JIO Market,Buy Chai Online | Best,Brooke Bond Taj Mahal Tea,500 g,450.00,364.00,19
JIO Market,Buy Chai Online | Best,Tata Gold Leaf Tea,500 g,300.00,235.00,21
JIO Market,Coffee Online - Buy In,Nescafe Classic Instant Coffee,90 g,350.00,287.00,18
JIO Market,Coffee Online - Buy In,Nescafe Classic Instant Coffee,45 g,180.00,167.00,7
JIO Market,Coffee Online - Buy In,BRU Instant Coffee,100 g,300.00,260.00,13
JIO Market,Coffee Online - Buy In,BRU Green Label Filter Coffee Powder,500 g,280.00,226.00,19
JIO Market,Coffee Online - Buy In,Nescafe Classic Instant Coffee,24 g,92.00,85.00,7
JIO Market,Buy Health Drinks and ,Horlicks Classic Malt,750 g,449.00,329.00,26
JIO Market,Buy Health Drinks and ,Bournvita,750 g,370.00,262.00,29
JIO Market,Buy Health Drinks and ,Horlicks Chocolate Delight,750 g,375.00,250.00,33
JIO Market,Buy Health Drinks and ,Bournvita,75 g,30.00,27.00,10
JIO Market,Buy Health Drinks and ,Dabur Chyawanprash 3x Immunity With Awaleha,950 g,395.00,355.00,10
JIO Market,Buy Health Drinks and ,Amul Pro Whey Protein Drink,500 g,180.00,140.00,22
JIO Market,Buy Health Drinks and ,Bournvita,500 g,233.00,173.00,25
JIO Market,Buy Health Drinks and ,Women's Horlicks Plus Caramel Drink Mix,400 g,355.00,325.00,8
JIO Market,Buy Health Drinks and ,Dabur Chyawanprash Awaleha,250 g,116.00,96.00,17
JIO Market,Best Skin Care Product,Trending    Nivea Men All-In-1 10X Vitamin C Charcoal Effect Face Wash,100 g,275.00,137.00,50
JIO Market,Best Skin Care Product,Glow & Lovely Advanced Multi Vitamin Cream,110 g,270.00,210.00,22
JIO Market,Best Skin Care Product,Pond's Pure Detox Anti Pollution Activated Charcoal Face Wash,200 g,545.00,272.00,50
JIO Market,Best Skin Care Product,Garnier Light Complete Instant Brightening Milky Serum Mask,28 g,99.00,49.00,50
JIO Market,Buy Oral Care Products,Colgate Strong Teeth Strong you & Calcium Boost Toothpaste Saver Pack,500 g,294.00,188.00,36
JIO Market,Buy Oral Care Products,Colgate Swarna Vedshakti Toothpaste,300 g,220.00,121.00,45
JIO Market,Buy Bath and Hand Wash,Lifebuoy Total 10 Germ Protection Soap,40 g,10.00,9.00,10
JIO Market,Buy Flour Online - Att,Suji / Rawa,500 g,53.00,25.00,52
JIO Market,Buy Flour Online - Att,Besan,500 g,95.00,45.00,52
JIO Market,Buy Dals and Pulses On,Good Life Raw Peanuts,500 g,120.00,97.00,19
JIO Market,Buy Dals and Pulses On,Good Life Kabuli Chana,500 g,134.00,111.00,17
JIO Market,Buy Dals and Pulses On,Good Life Moong Dal,500 g,96.00,73.00,23
JIO Market,Buy Dals and Pulses On,Good Life Whole Moong,500 g,95.00,72.00,24
JIO Market,Buy Dals and Pulses On,Good Life Small Brown Chana,500 g,69.00,53.00,23
JIO Market,Buy Dals and Pulses On,Good Life Masoor Dal,500 g,69.00,51.00,26
JIO Market,Buy Dals and Pulses On,Good Life Roasted Chana Dal / Split Bengal Gram,500 g,80.00,55.00,31
JIO Market,Buy Dals and Pulses On,Good Life Urad Dal,500 g,97.00,80.00,17
JIO Market,Buy Rice and Rice Prod,Tata Sampann White Poha,500 g,53.00,35.00,33
JIO Market,"Buy Salt, Sugar and Ja",Parth Jaggery,950 g,90.00,62.00,31
JIO Market,Buy Dry Fruits and Nut,Good Life Almonds,500 g,549.00,335.00,38
JIO Market,Buy Dry Fruits and Nut,Good Life (W320) Cashews,500 g,499.00,369.00,26
JIO Market,Organic Masala - Buy S,Good Life Big Mustard,100 g,25.00,15.00,40
JIO Market,Organic Masala - Buy S,Good Life Turmeric Powder,100 g,50.00,21.00,58
JIO Market,Organic Masala - Buy S,Good Life Coriander Powder,100 g,25.00,19.00,24
JIO Market,Organic Masala - Buy S,Good Life Chilli Powder,100 g,50.00,32.00,36
JIO Market,Organic Masala - Buy S,Good Life Compounded Hing Powder,50 g,95.00,55.00,42
JIO Market,Organic Masala - Buy S,Aashirvaad Chilli Powder,100 g,72.00,36.00,50
JIO Market,Organic Masala - Buy S,Aashirvaad Turmeric Powder,100 g,36.00,18.00,50
JIO Market,Buy Detergents Online ,Rin Detergent Bar,110 g,10.00,9.00,10
JIO Market,Buy Detergents Online ,Surf Excel Detergent Bar,80 g,15.00,13.00,13
