,Item,Cost
0,Nb Classy Cheese Platter,MRP ₹1500
1,Cheese And Me,MRP ₹399
2,Nb Premium Cheese Platter,MRP ₹4000
3,Meat Platter Turkey - 699,MRP ₹699
4,Meat Platter Chicken & Turkey - 999,MRP ₹999
5,Meat Platter Chicken Turkey Pork - 899,MRP ₹899
6,Get Fetagoudapepper Jackbrie In One Box,MRP ₹799
7,Meat Platter Chicken & Pork - 799,MRP ₹799
8,Meat Platter Chicken - 399,MRP ₹399
9,Mini Party Platter,MRP ₹699
10,Meat Platter Pork - 699,MRP ₹699
11,Meat Platter Chicken & Turkey Pork - 1199,MRP ₹1199
