,Item,Cost
0,TEA CULTURE OUR BEST FOUR,MRP ₹1500
1,Tea Culture Mesh Ball,MRP ₹350
2,Tea Culture Kamjove Glass Art Tea Cup,MRP ₹1500
3,TEA CULTURE THE MELANGE BOX,MRP ₹1600
4,TEA CULTURE KEEP SAKE,MRP ₹1600
5,"Origami Toothpicks,500 Units",MRP ₹180
6,Origami Sosoft Toilet Roll-Pack Of 10,MRP ₹520
7,"Origami So Soft Tissue Box,200 Pulls",MRP ₹175
8,"Origami Paper Lam Plates, 50S",MRP ₹300
9,ORIGAMI SOSOFT PARTY NAPKIN 32CM 20U,MRP ₹95
10,Tea Culture 50 Gram Metal Tea Tin,MRP ₹150
11,So Soft Wet Wipes 25 Pulls,MRP ₹95
12,Tea Culture 100 Gram Metal Tea Tin,MRP ₹165
13,TCW PLASTIC COFFEE RED POUROVER 4CUPS1PC,MRP ₹780
14,TCW POUROVER PAPER FILTER 40PC BROWN1PK,MRP ₹440
