Item,MRP,Offer
Farm Made Free Range Eggs 12Pcs,MRP ₹289,MRP ₹289
Zorabian Chicken Breast Boneless 450G,MRP ₹275,MRP ₹275
Farm Made Foods Made Free Range Eggs 24Pcs Box,MRP ₹569,MRP ₹569
Chicken Breast Bone Less Kg,MRP ₹295,MRP ₹295
Zorabian Chi Pre Cut Without Skin 900G,MRP ₹295,MRP ₹295
Zorabian Chicken Leg Boneless 450G,MRP ₹275,MRP ₹275
Mutton Curry Cut Kg,MRP ₹257.5,MRP ₹257.5
Farm Made Foods Made Free Range Eggs 6Pcs Carton,MRP ₹149,MRP ₹149
White Prawns Small Kg,MRP ₹247.5,MRP ₹247.5
Zorabian Chicken Mince 450G,MRP ₹255,MRP ₹255
Zorabian Chi Drumstick Without Skin 500G,MRP ₹265,MRP ₹265
Keggs Organic Eggs Pack Of6th,MRP ₹140,MRP ₹140
Big Sams Salmon Portions 300G,MRP ₹1750,MRP ₹1750
Atlantic Salmon Steaks Kg,MRP ₹875,MRP ₹875
Surmai Steaks Kg,MRP ₹562.5,MRP ₹562.5
Keggs Cage Free Tan Eggs 12 Eggs Pc,MRP ₹270,MRP ₹270
Chicken Curry Cut Kg,MRP ₹165,MRP ₹165
Real Good Chicken Chicken  Breast Boneless 450Gm,MRP ₹275,MRP ₹275
Big Sams Atlantic Salmon Smoked Pre Sliced 200G Pouch,MRP ₹1595,MRP ₹1595
Gadre Edamame 500G Pouch,MRP ₹500,MRP ₹500
Real Good Chicken Curry Cut 900 Gm,MRP ₹295,MRP ₹295
Zorabian Chicken Cubes 500 G,MRP ₹280,MRP ₹280
Mega Plus Eggs 6Pc,MRP ₹87,MRP ₹87
White Pomfret Medium Kg,MRP ₹1940,MRP ₹1940
Big Sams Salmon Portions 200G,MRP ₹1250,MRP ₹1250
Zorabian Chicken Mixed Boneless 450G,MRP ₹285,MRP ₹285
Mutton Mince Kg,MRP ₹362.5,MRP ₹362.5
Prasuma Streaky Bacon 150G Pouch,MRP ₹395,MRP ₹395
Big Sams Smoked Salmon Slice 100G,MRP ₹950,MRP ₹950
Zorabian Chicken Legs Without Skin 450G,MRP ₹210,MRP ₹210
