,Item,Cost
0,Gadre Edamame 500G Pouch,MRP ₹500
1,Cheetos Flamingo Hot Chips 227G Pouch,MRP ₹750
2,Sapphire Creamy Crackers 350G,MRP ₹200
3,Tong Garden Party Snacks 180G,MRP ₹150
4,Cheetos Corn Puffs Crunchy Chips 227G,MRP ₹825
5,Zorabian Chicken Seekh Kebab 250G,MRP ₹190
6,Prasuma Chicken Momos Original 24 Pcs, ₹276.25
7,The Bakers Dozen Handmade Coconut Oats Cookies 150G Box,MRP ₹175
8,Prasuma Spicy Chicken Momos 24Pcs, ₹276.25
9,Lexclusif Roasted Potato Chips Salted 75G Tin,MRP ₹129
10,Zorabian Chicken Sausages 250G Pouch,MRP ₹170
11,Home Delite Ragi Chips 220G,MRP ₹220
12,Home Delite Beetroot Chips 220G,MRP ₹260
13,Yummiez Juicy Chicken Nuggets 750G Pouch, ₹450
14,Lotus Biscoff Caramelised Biscuit 250G,MRP ₹299
15,Cheetos Cheese Snacks Cheddar Jalapeno 226.8G Pouch,MRP ₹825
16,Tong Garden Party Snack 500G,MRP ₹350
17,Very Berry Fruits Frozen Raspberry 150G Pouch,MRP ₹350
18,Yummiez Juicy Chicken Nuggets 500G Pouch, ₹325
19,Hb Bakers Choice  Almond Cake Rusk 200G, ₹202.5
20,Home Delite Roasted Yellow Banana Chips 220G,MRP ₹260
21,Tong Garden Salted Peanuts 400G Pkt,MRP ₹350
22,Tong Garden Salted Pistachios Snack 400G,MRP ₹1150
23,Pringles Original 149G,MRP ₹325
24,The Bakers Dozen Dark Chocolate Cookies 200G Box,MRP ₹199
25,Home Delite Protein Soya Chakli 220G,MRP ₹180
26,Home Delite Diet Assorted Chips 220G,MRP ₹270
27,Home Delite Ragi Chakli 220G,MRP ₹220
